BUQUECOD;BUQUE;TIPO_FLTA;FLOTA;ESLORA;POTHP;MATBUQ
1116;ARBUMASA XIV;32;ALTURA,PROC.CONGELADOR;36,40;1047,0;6221
2731;ARGENOVA XXIV;32;ALTURA,PROC.CONGELADOR;38,80;675,2;02752
2739;ARGENOVA XXVI;32;ALTURA,PROC.CONGELADOR;37,15;1085,9;02849
2616;VIEIRASA DIECISEIS;32;ALTURA,PROC.CONGELADOR;36,13;702,0;6412
1100;ANTONIO ALVAREZ;32;ALTURA,PROC.CONGELADOR;36,60;1167,8;6196
1960;MARA I;32;ALTURA,PROC.CONGELADOR;35,31;1209,4;6129
2707;ARGENOVA XXIII;32;ALTURA,PROC.CONGELADOR;37,19;677,9;02713
2718;VALIENTE II;32;ALTURA,PROC.CONGELADOR;35,30;1001,3;6185
1762;JUEVES SANTO;32;ALTURA,PROC.CONGELADOR;39,50;1244,3;6255
2735;MYRDOMA F;32;ALTURA,PROC.CONGELADOR;38,55;1429,5;02771
0;LUCA SANTINO;31;ALTURA, FRESQUERO;26,31;0,0;03121
1937;MAR AUSTRAL I;32;ALTURA,PROC.CONGELADOR;37,60;990,0;6078
2722;SUEMAR;32;ALTURA,PROC.CONGELADOR;36,60;1167,8;6186
1996;MARIA LILIANA;32;ALTURA,PROC.CONGELADOR;53,75;1648,3;5444
2749;EMPESUR VI;32;ALTURA,PROC.CONGELADOR;35,03;1288,6;02983
2051;MIRIAM;32;ALTURA,PROC.CONGELADOR;36,35;1445,6;6591
1344;CONARPESA I;32;ALTURA,PROC.CONGELADOR;52,50;1481,9;5404
1597;FERNANDO ALVAREZ;32;ALTURA,PROC.CONGELADOR;36,60;1167,8;6342
1056;ALVAREZ ENTRENA II;32;ALTURA,PROC.CONGELADOR;39,50;987,9;02465
1055;ALVAREZ ENTRENA I;32;ALTURA,PROC.CONGELADOR;39,43;988,0;02454
2041;MIERCOLES SANTO;32;ALTURA,PROC.CONGELADOR;38,50;1244,0;6254
2225;PEVEGASA QUINTO;32;ALTURA,PROC.CONGELADOR;38,65;739,6;02312
1058;ALVER;32;ALTURA,PROC.CONGELADOR;35,03;840,3;01576
1989;MARIA EUGENIA;32;ALTURA,PROC.CONGELADOR;51,95;1503,4;5425
1099;ANTONINO;31;ALTURA, FRESQUERO;27,60;540,9;6317
1592;FEIXA;31;ALTURA, FRESQUERO;41,50;1100,7;6227
